BarcodeName,FastaName,CoarseCluster,Phase,TotalCoverage,SequenceLength,PredictedAccuracy,ConsensusConverged,DuplicateOf,NoiseSequence,IsChimera,ChimeraScore,ParentSequenceA,ParentSequenceB,CrossoverPosition
F4--R4,BarcodeF4--R4_Cluster2_Phase0_NumReads364,Cluster2,Phase0,364,3138,0.9999369,True,,False,False,0,,,-1
F4--R4,BarcodeF4--R4_Cluster3_Phase4_NumReads183,Cluster3,Phase4,183,3124,0.9999363,True,,False,False,0,,,-1
F4--R4,BarcodeF4--R4_Cluster0_Phase6_NumReads165,Cluster0,Phase6,165,3438,0.9999138,True,,False,False,0.01994382,,,-1
F4--R4,BarcodeF4--R4_Cluster1_Phase11_NumReads158,Cluster1,Phase11,158,3426,0.9999369,True,,False,False,0.1098976,,,-1
F4--R4,BarcodeF4--R4_Cluster0_Phase2_NumReads140,Cluster0,Phase2,140,3438,0.9999369,True,,False,False,0.4776699,,,-1
F4--R4,BarcodeF4--R4_Cluster1_Phase5_NumReads126,Cluster1,Phase5,126,3408,0.9999366,True,,False,False,0.2583068,,,-1
F4--R4,BarcodeF4--R4_Cluster0_Phase5_NumReads78,Cluster0,Phase5,78,3437,0.9970868,True,,False,False,0.7916667,,,-1
F4--R4,BarcodeF4--R4_Cluster3_Phase0_NumReads53,Cluster3,Phase0,53,3124,0.9915429,True,,True,True,67.1875,BarcodeF4--R4_Cluster2_Phase0_NumReads364,BarcodeF4--R4_Cluster3_Phase4_NumReads183,1108
F4--R4,BarcodeF4--R4_Cluster2_Phase1_NumReads50,Cluster2,Phase1,50,3138,0.3769313,True,,True,True,67.1875,BarcodeF4--R4_Cluster2_Phase0_NumReads364,BarcodeF4--R4_Cluster3_Phase4_NumReads183,1911
F4--R4,BarcodeF4--R4_Cluster0_Phase3_NumReads42,Cluster0,Phase3,42,3438,0.9959782,False,,True,True,1.328125,BarcodeF4--R4_Cluster0_Phase6_NumReads165,BarcodeF4--R4_Cluster0_Phase2_NumReads140,1968
F4--R4,BarcodeF4--R4_Cluster2_Phase2_NumReads41,Cluster2,Phase2,41,3140,0.06726004,True,,True,True,17.7125,BarcodeF4--R4_Cluster2_Phase0_NumReads364,BarcodeF4--R4_Cluster3_Phase4_NumReads183,2466
F4--R4,BarcodeF4--R4_Cluster0_Phase1_NumReads40,Cluster0,Phase1,40,3438,0.9951222,True,,False,False,0.6951861,,,-1
F4--R4,BarcodeF4--R4_Cluster1_Phase9_NumReads33,Cluster1,Phase9,33,3419,0.9830672,True,,True,True,22.5,BarcodeF4--R4_Cluster1_Phase5_NumReads126,BarcodeF4--R4_Cluster1_Phase11_NumReads158,1531
F4--R4,BarcodeF4--R4_Cluster3_Phase3_NumReads31,Cluster3,Phase3,31,3124,0.9276547,True,,True,True,14.10938,BarcodeF4--R4_Cluster3_Phase4_NumReads183,BarcodeF4--R4_Cluster2_Phase0_NumReads364,2546
F4--R4,BarcodeF4--R4_Cluster1_Phase10_NumReads30,Cluster1,Phase10,30,3426,0.8494236,True,,True,True,11.51563,BarcodeF4--R4_Cluster1_Phase11_NumReads158,BarcodeF4--R4_Cluster1_Phase5_NumReads126,2597
F4--R4,BarcodeF4--R4_Cluster1_Phase0_NumReads29,Cluster1,Phase0,29,3414,0.2145904,True,,True,True,15,BarcodeF4--R4_Cluster1_Phase11_NumReads158,BarcodeF4--R4_Cluster1_Phase5_NumReads126,1538
F4--R4,BarcodeF4--R4_Cluster0_Phase4_NumReads28,Cluster0,Phase4,28,3439,0.9852654,True,,True,True,1.25,BarcodeF4--R4_Cluster0_Phase5_NumReads78,BarcodeF4--R4_Cluster0_Phase2_NumReads140,2369
F4--R4,BarcodeF4--R4_Cluster1_Phase8_NumReads22,Cluster1,Phase8,22,3419,0.1510279,True,,True,True,13.19231,BarcodeF4--R4_Cluster1_Phase5_NumReads126,BarcodeF4--R4_Cluster1_Phase11_NumReads158,996
F4--R4,BarcodeF4--R4_Cluster3_Phase1_NumReads22,Cluster3,Phase1,22,3124,0.3432263,True,,True,True,23.7037,BarcodeF4--R4_Cluster2_Phase0_NumReads364,BarcodeF4--R4_Cluster3_Phase4_NumReads183,312
F4--R4,BarcodeF4--R4_Cluster3_Phase2_NumReads22,Cluster3,Phase2,22,3123,0.7184225,True,,True,True,39.72222,BarcodeF4--R4_Cluster2_Phase0_NumReads364,BarcodeF4--R4_Cluster3_Phase4_NumReads183,581
F4--R4,BarcodeF4--R4_Cluster1_Phase7_NumReads21,Cluster1,Phase7,21,3409,0.05325242,True,,True,True,11.73611,BarcodeF4--R4_Cluster1_Phase5_NumReads126,BarcodeF4--R4_Cluster1_Phase11_NumReads158,2357
F4--R4,BarcodeF4--R4_Cluster1_Phase1_NumReads20,Cluster1,Phase1,20,3409,0.2972704,False,,True,True,12.9375,BarcodeF4--R4_Cluster1_Phase11_NumReads158,BarcodeF4--R4_Cluster1_Phase5_NumReads126,898
F4--R4,BarcodeF4--R4_Cluster1_Phase2_NumReads18,Cluster1,Phase2,18,3407,0.1340382,True,,True,True,12.44444,BarcodeF4--R4_Cluster1_Phase11_NumReads158,BarcodeF4--R4_Cluster1_Phase5_NumReads126,448
F4--R4,BarcodeF4--R4_Cluster1_Phase12_NumReads16,Cluster1,Phase12,16,3425,0.3727019,True,,True,True,7.948718,BarcodeF4--R4_Cluster1_Phase5_NumReads126,BarcodeF4--R4_Cluster1_Phase11_NumReads158,556
F4--R4,BarcodeF4--R4_Cluster1_Phase4_NumReads15,Cluster1,Phase4,15,3407,0.9758657,True,,True,True,2.464286,BarcodeF4--R4_Cluster1_Phase5_NumReads126,BarcodeF4--R4_Cluster1_Phase11_NumReads158,2808
F4--R4,BarcodeF4--R4_Cluster1_Phase6_NumReads10,Cluster1,Phase6,10,3419,0.0003526358,True,,True,True,1.633333,BarcodeF4--R4_Cluster1_Phase5_NumReads126,BarcodeF4--R4_Cluster1_Phase11_NumReads158,1946
F4--R4,BarcodeF4--R4_Cluster0_Phase0_NumReads7,Cluster0,Phase0,7,3556,0.1893625,False,,True,False,0.1115996,,,-1
F4--R4,BarcodeF4--R4_Cluster1_Phase3_NumReads2,Cluster1,Phase3,2,3527,0.0003418378,True,,True,False,0.09490778,,,-1
