BarcodeName,FastaName,CoarseCluster,Phase,TotalCoverage,SequenceLength,PredictedAccuracy,ConsensusConverged,DuplicateOf,NoiseSequence,IsChimera,ChimeraScore,ParentSequenceA,ParentSequenceB,CrossoverPosition
F3--R3,BarcodeF3--R3_Cluster0_Phase0_NumReads386,Cluster0,Phase0,386,3138,0.9999369,True,,False,False,0,,,-1
F3--R3,BarcodeF3--R3_Cluster1_Phase0_NumReads336,Cluster1,Phase0,336,3138,0.9999369,True,,False,False,0,,,-1
F3--R3,BarcodeF3--R3_Cluster3_Phase1_NumReads195,Cluster3,Phase1,195,3407,0.9999369,True,,False,False,0.02210667,,,-1
F3--R3,BarcodeF3--R3_Cluster2_Phase3_NumReads174,Cluster2,Phase3,174,3409,0.9999369,True,,False,False,0.2335425,,,-1
F3--R3,BarcodeF3--R3_Cluster5_Phase1_NumReads170,Cluster5,Phase1,170,3442,0.9999369,True,,False,False,0.1370614,,,-1
F3--R3,BarcodeF3--R3_Cluster4_Phase2_NumReads164,Cluster4,Phase2,164,3437,0.9999369,True,,False,False,0.1641566,,,-1
F3--R3,BarcodeF3--R3_Cluster1_Phase2_NumReads57,Cluster1,Phase2,57,3138,0.6973113,True,,True,True,17.8125,BarcodeF3--R3_Cluster1_Phase0_NumReads336,BarcodeF3--R3_Cluster0_Phase0_NumReads386,2303
F3--R3,BarcodeF3--R3_Cluster0_Phase2_NumReads56,Cluster0,Phase2,56,3138,0.9373053,True,,True,True,17.8125,BarcodeF3--R3_Cluster1_Phase0_NumReads336,BarcodeF3--R3_Cluster0_Phase0_NumReads386,638
F3--R3,BarcodeF3--R3_Cluster4_Phase0_NumReads56,Cluster4,Phase0,56,3440,0.9792838,True,,True,True,41,BarcodeF3--R3_Cluster5_Phase1_NumReads170,BarcodeF3--R3_Cluster4_Phase2_NumReads164,1304
F3--R3,BarcodeF3--R3_Cluster2_Phase1_NumReads55,Cluster2,Phase1,55,3408,0.9969091,True,,True,True,37.1875,BarcodeF3--R3_Cluster3_Phase1_NumReads195,BarcodeF3--R3_Cluster2_Phase3_NumReads174,892
